id_product,search_query,required_tokens,excluded_tokens,language,notes
665687,"Dragonite V 076/078 Pokemon GO","dragonite|076|pokemon go",,en,"PGO076 raw single; exclude slabs/lots via global matcher"
691947,"Origin Forme Palkia VSTAR GG67 Crown Zenith","palkia|gg67|crown zenith","vstar universe|259 172|korean|japanese|chinese",en,"CRZ GG67 raw English single; market-signal pilot card"
691922,"Zeraora VMAX GG42/GG70 Crown Zenith","zeraora|gg42|crown zenith","vstar universe|219 172|korean|japanese|chinese",en,"CRZ GG42 raw English single; research-watch pilot card"
