snapshot_date,id_product,name,expansion_name,number,rarity,best_validated_sourcing_price,deal_score,status,trend,avg30,avg7,avg1,cm_en_nm_floor,ct_en_nm_floor,ct_visible_sellers,ct_visible_units,gap_pct,popularity_score,research_note
2026-09-12,273856,Paras [Scratch | Spore],,,,0.4,68.5,BUY_CT_EN_NM,1.16,0.95,0.7,0.3,,0.4,24,208,57.89473684210525,0.45,
2026-09-12,273738,Abra [Psyshock],,,,0.6,68.3,BUY_CT_EN_NM,1.84,1.5,1.37,1.38,,0.6,11,26,60.0,0.45,
2026-09-12,274572,Pineco [Burst],,,,0.27,68.0,BUY_CT_EN_NM,0.62,0.59,0.5,0.45,,0.27,14,30,54.23728813559322,0.45,
2026-09-12,274466,Marill [Defense Curl | Bubble Bomb],,,,0.38,67.9,BUY_CT_EN_NM,0.69,0.86,0.79,0.77,,0.38,15,32,55.81395348837209,0.45,
2026-09-12,274641,Snubbull [Bite | Raging Headbutt],,,,0.56,67.6,BUY_CT_EN_NM,0.56,1.33,1.34,2.53,,0.56,13,33,57.89473684210527,0.45,
2026-09-12,274432,Croconaw [Tackle | Sweep Away],,,,0.5,67.5,BUY_CT_EN_NM,1.28,1.16,1.13,1.02,,0.5,11,12,56.89655172413792,0.45,
2026-09-12,273910,Horsea [Smokescreen],,,,0.34,67.5,BUY_CT_EN_NM,0.72,0.74,0.81,0.51,,0.34,26,338,54.05405405405405,0.45,
2026-09-12,273839,Persian [Scratch | Pounce],,,,0.72,67.2,WATCH_VALIDATED_EN_NM,2.96,1.76,2.6,2.83,,0.72,10,18,59.09090909090909,0.45,
2026-09-12,274578,Unown [E] [Engage | Hidden Power],,,,0.28,67.1,BUY_CT_EN_NM,0.8,0.58,0.39,0.38,,0.28,15,49,51.72413793103448,0.45,
2026-09-12,274568,Larvitar [Bite],,,,0.19,66.8,BUY_CT_EN_NM,0.5,0.37,0.34,0.34,,0.19,23,62,48.648648648648646,0.45,
2026-09-12,273842,Rhydon [Horn Attack | Ram],,,,0.68,66.6,WATCH_VALIDATED_EN_NM,2.47,1.6,2.26,1.63,,0.68,16,20,57.49999999999999,0.45,
2026-09-12,274111,Koffing [Tackle | Poison Gas],,,,0.33,66.6,BUY_CT_EN_NM,0.97,0.68,0.54,0.75,,0.33,33,168,51.47058823529412,0.45,
2026-09-12,274455,Chinchou [Supersonic | Flail],,,,0.26,66.6,BUY_CT_EN_NM,0.33,0.52,0.42,0.18,,0.26,21,78,50.0,0.45,
2026-09-12,273901,Omastar [Water Gun | Spike Cannon],,,,0.8,66.5,WATCH_VALIDATED_EN_NM,2.29,1.94,2.31,3.87,,0.8,10,20,58.762886597938135,0.45,
2026-09-12,274567,Kabuto [Revive Friends | Work Together],,,,0.34,66.3,BUY_CT_EN_NM,0.72,0.69,0.86,1.17,,0.34,14,24,50.724637681159415,0.45,
2026-09-12,274041,Bill,,,,0.21,66.2,BUY_CT_EN_NM,0.02,0.4,0.1,0.05,,0.21,28,86,47.5,0.45,
2026-09-12,273898,Graveler [Harden | Rock Throw],,,,0.49,65.8,BUY_CT_EN_NM,1.13,1.03,1.1,0.92,,0.49,12,28,52.42718446601942,0.45,
2026-09-12,274574,Sentret [Scout | Tackle],,,,0.22,65.8,BUY_CT_EN_NM,0.22,0.41,0.32,0.22,,0.22,29,71,46.34146341463414,0.45,
